task,category
Rinsing ice cube trays,cleaning
Washing refrigerator door seals,cleaning
Rinse driveway,outdoorCleaning
Clean outdoor grills,outdoorCleaning
Prepare marinade,cooking
Prepare stock,cooking
Rinsing off garden furniture,gardening
Washing pet carriers,cleaning
Cook couscous,cooking
Cook spaghetti,cooking
Grate cheese,cooking
Soaking plant roots,gardening
Cleaning pond filters,gardening
Saute mushrooms,cooking
Deep condition hair,showering
Wash garden shed doors,outdoorCleaning
cleaning stovetop vents,cleaning
Cleaning and rinsing hair accessories,personalHygiene
Rinse off gardening pots,outdoorCleaning
cleaning shower heads,cleaning
Apply after-sun lotion,showering
Wash garden arches,outdoorCleaning
Rinsing cleaning sponges,cleaning
Prepare soup,cooking
Sear scallops,cooking
Rinse after workout,showering
Watering newly seeded lawns,gardening
Cleaning garden hoses,gardening
Rinse off garden tools,outdoorCleaning
Cleaning watering cans,gardening
Cook oatmeal,cooking
Rinse off sand,showering
Clean outdoor canopy,outdoorCleaning
cleaning outdoor pathways,cleaning
Cook quinoa,cooking
Cleaning ears with water,personalHygiene
Wash garden furniture,outdoorCleaning
Rinse off patio heaters,outdoorCleaning
Washing dish towels,cleaning
Watering garden beds,gardening
Chop onions,cooking
Rinsing off garden decorations,gardening
cleaning stovetop burners,cleaning
Use medicated shampoo,showering
watering plants,gardening
Rinse off outdoor decorations,outdoorCleaning
Rinse off hair dye,showering
Clean garden tool storage,outdoorCleaning
Soaking soil in garden beds,gardening
Rinsing off after a swim,personalHygiene
Clean outdoor grill,outdoorCleaning
Clean outdoor lawnmower,outdoorCleaning
Rinsing and cleaning dental appliances,personalHygiene
Boil eggs,cooking
Fry potatoes,cooking
Watering greenhouse plants,gardening
Rinsing fruit and vegetable trays,cleaning
Washing hands after handling raw food,personalHygiene
Wash face,showering
cleaning shower walls,cleaning
Washing face,personalHygiene
Roast vegetables,cooking
Exfoliate skin,showering
Washing shower doors,cleaning
Filling up rain barrels,gardening
Wash outdoor garden lanterns,outdoorCleaning
Make ice cream,cooking
Boil water for pasta,cooking
Rinse off patio stones,outdoorCleaning
Blend smoothie,cooking
cleaning garbage disposal,cleaning
cleaning windows,cleaning
Rinsing fruits and vegetables,cleaning
Steam fish,cooking
Rinse outdoor walls,outdoorCleaning
Clean outdoor gates,outdoorCleaning
Rinse garden path,outdoorCleaning
Rinsing feet after walking,personalHygiene
Marinate tofu,cooking
Poach eggs,cooking
Rinsing plant pots,cleaning
Stir sauce,cooking
Rinse off yogurt mask,showering
Clean garden stepping stones,outdoorCleaning
Toast breadcrumbs,cooking
Wash with antibacterial soap,showering
Mopping kitchen floor,cleaning
Apply shampoo,showering
Washing hands after using the toilet,personalHygiene
Washing kitchen drawers,cleaning
Clean outdoor storage sheds,outdoorCleaning
Soaking compost,gardening
Watering succulents,gardening
Clean outdoor air conditioning units,outdoorCleaning
Sweep and wash porch,outdoorCleaning
Use body wash,showering
Clean outdoor doormats,outdoorCleaning
Use loofah,showering
Fry bacon,cooking
Blanch vegetables,cooking
Rinsing off soap after handwashing,personalHygiene
Aromatherapy shower,showering
Wash garden pathways,outdoorCleaning
Roast bell peppers,cooking
Rinsing laundry detergent trays,cleaning
Rinse off garden water features,outdoorCleaning
Rinsing off lotion,personalHygiene
Wash garden edging,outdoorCleaning
Cleaning garden irrigation filters,gardening
Rinse after exercise,showering
Apply hair mask,showering
cleaning outdoor grill,cleaning
Steam shower,showering
Rinse off mud mask,showering
Clean gutters,outdoorCleaning
Washing floor mats,cleaning
Bake bread,cooking
Washing kitchen cabinets,cleaning
Clean outdoor flower pots,outdoorCleaning
cleaning freezer compartments,cleaning
Wash deck,outdoorCleaning
Condition hair,showering
Fry shrimp,cooking
Whip cream,cooking
Cool shower,showering
Clean outdoor cushions,outdoorCleaning
Cleaning rain gauges,gardening
Braise chicken,cooking
Rinsing brooms,cleaning
Wash garden birdhouses,outdoorCleaning
Rinse off outdoor garden signs,outdoorCleaning
Rinsing off excess soap,personalHygiene
Rinsing mulch,gardening
Rinse off garden irrigation systems,outdoorCleaning
Broil vegetables,cooking
Rinsing garden tools,gardening
cleaning blinds,cleaning
Rinsing bath toys,cleaning
Blanch almonds,cooking
Mopping the floor,cleaning
Rinse after swimming,showering
Washing bath mats,cleaning
Wash outdoor planters,outdoorCleaning
Cook millet,cooking
Clean outdoor fire pit area,outdoorCleaning
Rinsing conditioner from hair,personalHygiene
Peel potatoes,cooking
Cleaning outdoor faucets,gardening
Roast potatoes,cooking
Stir-fry noodles,cooking
Rinsing off garden statues,gardening
Bake lasagna,cooking
Rinsing after brushing teeth,personalHygiene
Clean patio floors,outdoorCleaning
Toast spices,cooking
Watering bonsai trees,gardening
Clean garden walkways,outdoorCleaning
Wash garden irrigation systems,outdoorCleaning
Cook lentils,cooking
cleaning soap dispensers,cleaning
Bake cake,cooking
Rinse off garden fountains,outdoorCleaning
Rinsing outdoor cushions,cleaning
Rinse soap,showering
Washing bathroom faucets,cleaning
Rinsing out herb pots,cleaning
Season steak,cooking
Make gravy,cooking
Fry eggs,cooking
Fry egg,cooking
cleaning refrigerator shelves,cleaning
Wash outdoor mats,outdoorCleaning
Cleaning and maintaining irrigation systems,gardening
Hot shower,showering
Wash car exterior,outdoorCleaning
Mix salad,cooking
Soaking bulbs before planting,gardening
Whisk eggs,cooking
Whisk egg,cooking
Watering indoor plants,gardening
Rinse off bicycles,outdoorCleaning
Watering shrubs and bushes,gardening
Prepare gnocchi,cooking
Prepare pasta sauce,cooking
Watering and misting tropical plants,gardening
Wash outdoor ceiling fans,outdoorCleaning
Rinsing off makeup,personalHygiene
Rinse off oil treatment,showering
Rinsing outdoor statues,cleaning
Rinse off garden fence,outdoorCleaning
Grill burgers,cooking
Clean outdoor seating areas,outdoorCleaning
Mopping bathroom floor,cleaning
Scrubbing countertops,cleaning
Toast bread,cooking
Cleaning contact lenses,personalHygiene
