task,category
Rinsing ice cube trays,Cleaning
Washing refrigerator door seals,Cleaning
Rinse driveway,OutdoorCleaning
Clean outdoor grills,OutdoorCleaning
Prepare marinade,Cooking
Prepare stock,Cooking
Rinsing off garden furniture,Gardening
Washing pet carriers,Cleaning
Cook couscous,Cooking
Cook spaghetti,Cooking
Grate cheese,Cooking
Soaking plant roots,Gardening
Cleaning pond filters,Gardening
Saute mushrooms,Cooking
Deep condition hair,Showering
Wash garden shed doors,OutdoorCleaning
Cleaning stovetop vents,Cleaning
Cleaning and rinsing hair accessories,PersonalHygiene
Rinse off Gardening pots,OutdoorCleaning
Cleaning shower heads,Cleaning
Apply after-sun lotion,Showering
Wash garden arches,OutdoorCleaning
Rinsing Cleaning sponges,Cleaning
Prepare soup,Cooking
Sear scallops,Cooking
Rinse after workout,Showering
Watering newly seeded lawns,Gardening
Cleaning garden hoses,Gardening
Rinse off garden tools,OutdoorCleaning
Cleaning watering cans,Gardening
Cook oatmeal,Cooking
Rinse off sand,Showering
Clean outdoor canopy,OutdoorCleaning
Cleaning outdoor pathways,Cleaning
Cook quinoa,Cooking
Cleaning ears with water,PersonalHygiene
Wash garden furniture,OutdoorCleaning
Rinse off patio heaters,OutdoorCleaning
Washing dish towels,Cleaning
Watering garden beds,Gardening
Chop onions,Cooking
Rinsing off garden decorations,Gardening
Cleaning stovetop burners,Cleaning
Use medicated shampoo,Showering
watering plants,Gardening
Rinse off outdoor decorations,OutdoorCleaning
Rinse off hair dye,Showering
Clean garden tool storage,OutdoorCleaning
Soaking soil in garden beds,Gardening
Rinsing off after a swim,PersonalHygiene
Clean outdoor grill,OutdoorCleaning
Clean outdoor lawnmower,OutdoorCleaning
Rinsing and Cleaning dental appliances,PersonalHygiene
Boil eggs,Cooking
Fry potatoes,Cooking
Watering greenhouse plants,Gardening
Rinsing fruit and vegetable trays,Cleaning
Washing hands after handling raw food,PersonalHygiene
Wash face,Showering
Cleaning shower walls,Cleaning
Washing face,PersonalHygiene
Roast vegetables,Cooking
Exfoliate skin,Showering
Washing shower doors,Cleaning
Filling up rain barrels,Gardening
Wash outdoor garden lanterns,OutdoorCleaning
Make ice cream,Cooking
Boil water for pasta,Cooking
Rinse off patio stones,OutdoorCleaning
Blend smoothie,Cooking
Cleaning garbage disposal,Cleaning
Cleaning windows,Cleaning
Rinsing fruits and vegetables,Cleaning
Steam fish,Cooking
Rinse outdoor walls,OutdoorCleaning
Clean outdoor gates,OutdoorCleaning
Rinse garden path,OutdoorCleaning
Rinsing feet after walking,PersonalHygiene
Marinate tofu,Cooking
Poach eggs,Cooking
Poach egg,Cooking
Rinsing plant pots,Cleaning
Stir sauce,Cooking
Rinse off yogurt mask,Showering
Clean garden stepping stones,OutdoorCleaning
Toast breadcrumbs,Cooking
Wash with antibacterial soap,Showering
Mopping kitchen floor,Cleaning
Apply shampoo,Showering
Washing hands after using the toilet,PersonalHygiene
Washing kitchen drawers,Cleaning
Clean outdoor storage sheds,OutdoorCleaning
Soaking compost,Gardening
Watering succulents,Gardening
Clean outdoor air conditioning units,OutdoorCleaning
Sweep and wash porch,OutdoorCleaning
Use body wash,Showering
Clean outdoor doormats,OutdoorCleaning
Use loofah,Showering
Fry bacon,Cooking
Blanch vegetables,Cooking
Rinsing off soap after handwashing,PersonalHygiene
Aromatherapy shower,Showering
Wash garden pathways,OutdoorCleaning
Roast bell peppers,Cooking
Rinsing laundry detergent trays,Cleaning
Rinse off garden water features,OutdoorCleaning
Rinsing off lotion,PersonalHygiene
Wash garden edging,OutdoorCleaning
Cleaning garden irrigation filters,Gardening
Rinse after exercise,Showering
Apply hair mask,Showering
Cleaning outdoor grill,Cleaning
Steam shower,Showering
Rinse off mud mask,Showering
Clean gutters,OutdoorCleaning
Washing floor mats,Cleaning
Bake bread,Cooking
Washing kitchen cabinets,Cleaning
Clean outdoor flower pots,OutdoorCleaning
Cleaning freezer compartments,Cleaning
Wash deck,OutdoorCleaning
Condition hair,Showering
Fry shrimp,Cooking
Whip cream,Cooking
Cool shower,Showering
Clean outdoor cushions,OutdoorCleaning
Cleaning rain gauges,Gardening
Braise chicken,Cooking
Rinsing brooms,Cleaning
Wash garden birdhouses,OutdoorCleaning
Rinse off outdoor garden signs,OutdoorCleaning
Rinsing off excess soap,PersonalHygiene
Rinsing mulch,Gardening
Rinse off garden irrigation systems,OutdoorCleaning
Broil vegetables,Cooking
Rinsing garden tools,Gardening
Cleaning blinds,Cleaning
Rinsing bath toys,Cleaning
Blanch almonds,Cooking
Mopping the floor,Cleaning
Rinse after swimming,Showering
Washing bath mats,Cleaning
Wash outdoor planters,OutdoorCleaning
Cook millet,Cooking
Clean outdoor fire pit area,OutdoorCleaning
Rinsing conditioner from hair,PersonalHygiene
Peel potatoes,Cooking
Cleaning outdoor faucets,Gardening
Roast potatoes,Cooking
Stir-fry noodles,Cooking
Rinsing off garden statues,Gardening
Bake lasagna,Cooking
Rinsing after brushing teeth,PersonalHygiene
Clean patio floors,OutdoorCleaning
Toast spices,Cooking
Watering bonsai trees,Gardening
Clean garden walkways,OutdoorCleaning
Wash garden irrigation systems,OutdoorCleaning
Cook lentils,Cooking
Cleaning soap dispensers,Cleaning
Bake cake,Cooking
Rinse off garden fountains,OutdoorCleaning
Rinsing outdoor cushions,Cleaning
Rinse soap,Showering
Washing bathroom faucets,Cleaning
Rinsing out herb pots,Cleaning
Season steak,Cooking
Make gravy,Cooking
Fry eggs,Cooking
Fry egg,Cooking
Cleaning refrigerator shelves,Cleaning
Wash outdoor mats,OutdoorCleaning
Cleaning and maintaining irrigation systems,Gardening
Hot shower,Showering
Wash car exterior,OutdoorCleaning
Mix salad,Cooking
Soaking bulbs before planting,Gardening
Whisk eggs,Cooking
Whisk egg,Cooking
Watering indoor plants,Gardening
Rinse off bicycles,OutdoorCleaning
Watering shrubs and bushes,Gardening
